GF1>+ - Capture (time interval between rows = 1 msec),,,,,,,,,,,GF1>Kir2.1 - Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,GF1>+ - Escape,,,,,,,,,,,,,,,GF1>Kir2.1 - Escape,,,,,,,,,,,
X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm)
22.11433956,-3.017390164,19.06478828,-0.742456821,28.04032964,-1.766712756,25.2158941,-4.828991708,21.85977136,3.551492602,,16.01643255,1.718305136,10.57297145,-2.011163383,11.17667498,-4.489901317,10.26654847,1.399700446,4.465254411,-3.199256716,12.8801894,-1.367926818,17.42333814,-0.579496803,14.45910163,-2.439726797,8.634568559,3.804781322,10.7792122,1.002942351,9.008545928,1.993982573,9.739198946,2.345185484,4.285692198,-2.524774765,,14.38945615,-3.585164354,17.75756781,0.968071185,36.99677506,-3.794616291,8.342741649,1.152061295,10.26404592,3.152516267,16.96672595,0.714467072,28.25845608,4.02443971,,19.51511883,-6.648115529,19.5967569,-0.992013681,12.1365946,-0.93568986,19.62169425,-3.795982238,58.51066207,-2.146140239,11.03698054,4.845455956
22.0485596,-2.955447622,18.95626554,-0.699979682,27.88489406,-1.808250242,25.12700109,-4.814035516,21.87611263,3.555882035,,15.95464532,1.738697511,10.4742847,-1.989897389,11.15404819,-4.426420569,10.18255189,1.365101384,4.455653871,-3.15557492,12.73929332,-1.380105813,17.28406741,-0.516229937,14.33254789,-2.415726929,8.546910775,3.730910874,10.61529609,1.034823441,8.971987934,1.974196777,9.705440676,2.376546715,4.23970348,-2.467304155,,14.29938356,-3.536001422,17.56086257,0.976644463,36.89714979,-3.867141028,8.313869502,1.145655235,10.20458382,3.137002897,16.94383338,0.756928442,28.16110864,4.012735948,,19.47419019,-6.611191611,19.51551474,-0.995085317,12.06739555,-0.910886878,19.58734463,-3.798004834,58.39686041,-2.112220474,10.97957437,4.797392454
21.98141478,-2.894397318,18.84402921,-0.656854462,27.7290886,-1.848768548,25.0380709,-4.797537706,21.88985102,3.558804165,,15.88995697,1.760301239,10.37292727,-1.967537217,11.13086453,-4.361782772,10.09687991,1.330984997,4.445401943,-3.111411484,12.59440075,-1.391051792,17.13984454,-0.452856843,14.20205562,-2.390805959,8.456082977,3.655100861,10.44523175,1.066301143,8.93534779,1.95533815,9.670399455,2.409368295,4.192840797,-2.407890177,,14.20682575,-3.485820277,17.35647197,0.985415361,36.79726741,-3.93949215,8.284486139,1.139146498,10.14289945,3.122105331,16.91937023,0.800211263,28.06390252,4.001077099,,19.43255784,-6.573949475,19.43466029,-0.997242308,11.99697995,-0.886081326,19.55195929,-3.79936447,58.28234474,-2.078570549,10.91992147,4.748591083
21.91294732,-2.834288693,18.72806434,-0.613075551,27.5730368,-1.888267262,24.9491629,-4.77952667,21.90087375,3.560288018,,15.82228829,1.78308568,10.26893372,-1.944045677,11.10708837,-4.296055984,10.0095223,1.297400975,4.434484996,-3.066774541,12.44553473,-1.400710748,16.99070811,-0.389417778,14.06764414,-2.364958065,8.362222291,3.57754091,10.26904936,1.097282894,8.898581798,1.937386046,9.634056855,2.443648415,4.145116192,-2.346641668,,14.11180153,-3.434664426,17.14441673,0.994347024,36.69715616,-4.011598098,8.254572725,1.132508841,10.07896099,3.107820326,16.89326069,0.844305715,27.96701652,3.989488893,,19.39022732,-6.536408856,19.35416465,-0.99847746,11.92532232,-0.861284655,19.5154799,-3.800102599,58.16714954,-2.045247067,10.85804159,4.699087978
21.84320024,-2.775164327,18.60835784,-0.568637734,27.41685772,-1.926746463,24.86033375,-4.760036982,21.909068,3.560367064,,15.75155904,1.807013315,10.16234565,-1.919387217,11.08268261,-4.229310496,9.920471864,1.264400009,4.422890248,-3.021674567,12.29272816,-1.409031731,16.83670411,-0.325952665,13.9293397,-2.33817979,8.265482986,3.498437529,10.08679417,1.127673471,8.861642375,1.920315132,9.596394999,2.479378579,4.096550486,-2.283671482,,14.01433332,-3.382578714,16.92474061,1.003395426,36.59684183,-4.083384559,8.224109736,1.125717635,10.01274309,3.094144583,16.8654287,0.889201225,27.87063561,3.978000923,,19.34720092,-6.498589601,19.27398498,-0.99878622,11.85239268,-0.836507989,19.47784546,-3.80026216,58.05130652,-2.012303767,10.79395976,4.648920979
21.77221575,-2.717061478,18.48489958,-0.523536719,27.26066484,-1.964206746,24.77163698,-4.739110639,21.91431963,3.559078178,,15.67768782,1.832040164,10.05321142,-1.893528812,11.05760824,-4.16161811,9.829725382,1.232033772,4.410605658,-2.976123952,12.13602464,-1.415966326,16.67788584,-0.262500996,13.78717571,-2.310469245,8.166024026,3.418002,9.898527434,1.157375004,8.824478195,1.904095467,9.557396507,2.516543242,4.047174107,-2.219092418,,13.91444724,-3.329609367,16.69751274,1.012509696,36.49634706,-4.154775459,8.193077109,1.118750108,9.944227658,3.081075933,16.8357981,0.934885992,27.77495016,3.966646332,,19.30347695,-6.460511811,19.19406454,-0.998166046,11.7781567,-0.811761527,19.43899286,-3.799887078,57.93484544,-1.97979163,10.72770465,4.59812826
21.70003498,-2.66001243,18.35768353,-0.477769711,27.10456387,-2.00064998,24.68312299,-4.716797338,21.91651198,3.556460578,,15.60059225,1.858116148,9.941586145,-1.86644048,11.03182414,-4.093051729,9.737284049,1.20035466,4.397618853,-2.930137288,11.97547805,-1.421469955,16.51431393,-0.199101639,13.64119369,-2.281825197,8.06399852,3.336439201,9.704326528,1.186287036,8.78703435,1.888692578,9.517044568,2.555119668,3.997026945,-2.153013441,,13.81217356,-3.275803943,16.46282987,1.0216325,36.39569132,-4.225693584,8.161454524,1.111585556,9.873404512,3.068614026,16.80429286,0.981346464,27.68015465,3.95546106,,19.25904988,-6.422195644,19.11433325,-0.996615982,11.70257567,-0.787054115,19.39885758,-3.799021444,57.81779443,-1.947758859,10.65930636,4.546746436
21.6266997,-2.604043135,18.22670905,-0.431336101,26.94864971,-2.036079952,24.59483965,-4.693152642,21.91552532,3.552555132,,15.52018958,1.885185338,9.827531759,-1.838095384,11.00528736,-4.023685411,9.643153787,1.169415425,4.383914934,-2.883732498,11.81115198,-1.42550363,16.34605628,-0.135793039,13.49144452,-2.25224649,7.959548955,3.253941819,9.504284864,1.214306664,8.74925251,1.874067548,9.475323224,2.595078354,3.946157206,-2.08553842,,13.70754721,-3.22121122,16.22081799,1.030700719,36.29489123,-4.296060979,8.129221676,1.104205591,9.800272277,3.056760618,16.77083739,1.028566893,27.58644651,3.944482863,,19.21391108,-6.383661223,19.03470837,-0.994136475,11.62560709,-0.762392334,19.35737441,-3.797708579,57.70018025,-1.916250747,10.5887952,4.494809501
21.55225402,-2.549171936,18.09198138,-0.384238513,26.79300339,-2.070502695,24.50683272,-4.668234724,21.91123714,3.547403938,,15.43639735,1.913186007,9.711115881,-1.808470443,10.97795333,-3.953594499,9.547345357,1.139268698,4.369474421,-2.836932025,11.64311961,-1.428035215,16.17318764,-0.072613638,13.33798979,-2.221731801,7.85280643,3.170688953,9.298512251,1.241328498,8.711071052,1.860177093,9.432217654,2.636384228,3.8946202,-2.016767222,,13.60060836,-3.165881184,15.97163141,1.039647779,36.19396056,-4.365799529,8.096358579,1.096594452,9.724839325,3.045519944,16.73535721,1.076529235,27.49402554,3.933750384,,19.16804969,-6.344928613,18.95509502,-0.990729537,11.54720708,-0.737778318,19.31447749,-3.795990457,57.5820283,-1.885309585,10.51620165,4.442348819
21.47674338,-2.495410604,17.95350975,-0.336484852,26.6376924,-2.103925688,24.4191455,-4.642101885,21.90352288,3.541050141,,15.3491339,1.942050632,9.592409628,-1.777547415,10.94977617,-3.882855463,9.449874144,1.109966226,4.354272292,-2.789763567,11.47146388,-1.429040157,15.99578929,-0.00960191,13.18090307,-2.190279395,7.743891521,3.086846642,9.087135545,1.267244817,8.672425386,1.846973737,9.387714328,2.678998025,3.842477359,-1.946797627,,13.49140297,-3.109865072,15.71544844,1.048407043,36.09290997,-4.434831441,8.062845841,1.088739298,9.647124492,3.034899006,16.69777961,1.125213399,27.40309335,3.923302191,,19.12145383,-6.306017571,18.87538666,-0.986399109,11.46733376,-0.713207214,19.27010012,-3.793907364,57.46336242,-1.854974599,10.44155691,4.389393368
