GF1>+ - Capture (time interval between rows = 1 msec),,,,,,,,,,,GF1>Kir2.1 - Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,GF1>+ - Escape,,,,,,,,,,,,,,,GF1>Kir2.1 - Escape,,,,,,,,,,,
X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),,X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),,X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),,X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm),X (mm),Y (mm)
22.30311558,-19.21171276,19.36824132,-9.733522507,28.50310242,-0.970951464,25.48172097,-2.060125029,21.79626069,14.65108721,,16.18516951,-4.221543199,10.85275596,6.749398225,11.24154787,-2.114305257,10.50861239,4.748032373,4.490295609,-1.642780339,13.27877481,-3.098393056,17.81117188,7.272558255,14.81504234,1.850934086,8.877523096,1.857518495,11.23397163,5.252206622,9.118101021,-2.087719305,9.832968698,-1.293217226,4.418408564,3.549378764,,14.64462945,-5.069323454,18.30165674,2.169672909,37.29379204,21.53578305,8.426470167,1.643091702,10.42948739,-4.171882466,17.02673006,1.131785815,28.54966834,-5.387884804,,19.63359624,4.705413424,19.84289848,-3.221978885,12.33707569,3.895535229,19.7190691,7.551750094,58.8473753,-4.953317882,11.19560694,-5.628072105
22.24165077,-19.19190458,19.2707585,-9.667458966,28.34957126,-0.995242316,25.39331943,-2.100623851,21.81973245,14.60639636,,16.13161709,-4.234224393,10.76222681,6.692633218,11.2203936,-2.108780299,10.42956548,4.715257572,4.48255973,-1.62856231,13.14993671,-3.037683787,17.68690809,7.227602429,14.70035116,1.865443043,8.799949071,1.856593719,11.08854703,5.181656725,9.081569493,-2.073466726,9.802943158,-1.316940397,4.375038783,3.43807837,,14.56208869,-5.048710268,18.12793922,2.165700553,37.19513078,21.42553587,8.399024534,1.645987828,10.37645566,-4.151153774,17.00810005,1.13600794,28.45289523,-5.344168021,,19.59483213,4.693188842,19.76045271,-3.226886162,12.27142113,3.910218138,19.68750515,7.497098408,58.73596539,-4.931526608,11.14500245,-5.607111405
22.17871512,-19.17060494,19.16961355,-9.599472793,28.19526686,-1.019442629,25.30468825,-2.140848699,21.84094027,14.55939573,,16.0753972,-4.245972839,10.66895957,6.6347084,11.19877926,-2.103570124,10.34888193,4.681989657,4.474217974,-1.61351328,13.01707363,-2.976078848,17.55762586,7.179996585,14.58170452,1.879153577,8.718943635,1.855079259,10.93696369,5.109087938,9.045061369,-2.058426046,9.771693265,-1.341216932,4.330802927,3.327420504,,14.47702835,-5.026924377,17.94658747,2.161306366,37.09611298,21.31440391,8.371120765,1.648638307,10.32132289,-4.129417077,16.98812329,1.139687283,28.3557729,-5.300340024,,19.55533595,4.680188142,19.67840213,-3.231212006,12.20459784,3.924913438,19.65506358,7.441590508,58.62371144,-4.908610105,11.09212599,-5.586032605
22.11433956,-19.14779531,19.06478828,-9.529555534,28.04032964,-1.04348626,25.2158941,-2.180722261,21.85977136,14.51006317,,16.01643255,-4.256721261,10.57297145,6.575632273,11.17667498,-2.098692763,10.26654847,4.648232995,4.465254411,-1.5976504,12.8801894,-2.913615327,17.42333814,7.129715845,14.45910163,1.89202311,8.634568559,1.852913647,10.7792122,5.03455696,9.008545928,-2.042604554,9.739198946,-1.366050181,4.285692198,3.217570397,,14.38945615,-5.003956907,17.75756781,2.156512181,36.99677506,21.20246022,8.342741649,1.651033588,10.26404592,-4.106656766,16.96672595,1.142808059,28.25845608,-5.25648452,,19.51511883,4.666411957,19.5967569,-3.234915468,12.1365946,3.939576195,19.62169425,7.385239986,58.51066207,-4.884548937,11.03698054,-5.564830367
22.0485596,-19.12345979,18.95626554,-9.457700262,27.88489406,-1.067304355,25.12700109,-2.220167527,21.87611263,14.4583788,,15.95464532,-4.266404084,10.4742847,6.515411951,11.15404819,-2.094164854,10.18255189,4.613990677,4.455653871,-1.580994415,12.73929332,-2.850332703,17.28406741,7.076742149,14.33254789,1.904010915,8.546910775,1.850033384,10.61529609,4.958127051,8.971987934,-2.026011509,9.705440676,-1.391440711,4.23970348,3.108688932,,14.29938356,-4.979801795,17.56086257,2.151340199,36.89714979,21.08977502,8.313869502,1.65316445,10.20458382,-4.082858799,16.94383338,1.145355331,28.16110864,-5.212685565,,19.47419019,4.651862195,19.51551474,-3.237955646,12.06739555,3.954162662,19.58734463,7.328060436,58.39686041,-4.859325241,10.97957437,-5.543497366
21.98141478,-19.09758475,18.84402921,-9.383901894,27.7290886,-1.09082575,25.0380709,-2.259107651,21.88985102,14.40432481,,15.88995697,-4.274957932,10.37292727,6.454053562,11.13086453,-2.090001866,10.09687991,4.57926473,4.445401943,-1.563569684,12.59440075,-2.786272281,17.13984454,7.02106419,14.20205562,1.915078337,8.456082977,1.846372872,10.44523175,4.879867863,8.93534779,-2.008658157,9.670399455,-1.417385939,4.192840797,3.000932193,,14.20682575,-4.954455975,17.35647197,2.145812717,36.79726741,20.97641564,8.284486139,1.655021946,10.14289945,-4.058011416,16.91937023,1.14731505,28.06390252,-5.169027641,,19.43255784,4.636542173,19.43466029,-3.240291532,11.99697995,3.968630939,19.55195929,7.27006513,58.28234474,-4.832922794,10.91992147,-5.522024213
21.91294732,-19.07015822,18.72806434,-9.308157543,27.5730368,-1.11397737,24.9491629,-2.29746595,21.90087375,14.34788539,,15.82228829,-4.282321862,10.26893372,6.391562417,11.10708837,-2.086218243,10.0095223,4.544056252,4.434484996,-1.545404231,12.44553473,-2.721476208,16.99070811,6.962677428,14.06764414,1.925189269,8.362222291,1.841864626,10.26904936,4.799855499,8.898581798,-1.990557724,9.634056855,-1.443879863,4.145116192,2.894450933,,14.11180153,-4.927919662,17.14441673,2.139952015,36.69715616,20.86244646,8.254572725,1.656597423,10.07896099,-4.032105832,16.89326069,1.148674087,27.96701652,-5.125595697,,19.39022732,4.620456739,19.35416465,-3.241882107,11.92532232,3.982941439,19.5154799,7.211266917,58.16714954,-4.80532713,10.85804159,-5.500399476
21.84320024,-19.04116934,18.60835784,-9.230467092,27.41685772,-1.136684828,24.86033375,-2.335166099,21.909068,14.28904638,,15.75155904,-4.288437403,10.16234565,6.327942888,11.08268261,-2.082827439,9.920471864,4.508365494,4.422890248,-1.526529767,12.29272816,-2.655986428,16.83670411,6.901584265,13.9293397,1.934310755,8.265482986,1.836440508,10.08679417,4.718172722,8.861642375,-1.971725436,9.596394999,-1.470912805,4.096550486,2.789390216,,14.01433332,-4.900196498,16.92474061,2.133780337,36.59684183,20.74792888,8.224109736,1.657882622,10.01274309,-4.005136765,16.8654287,1.149420205,27.87063561,-5.082475178,,19.34720092,4.60361231,19.27398498,-3.242686601,11.85239268,3.997057111,19.47784546,7.151678331,58.05130652,-4.776525667,10.79395976,-5.478609788
21.77221575,-19.01060809,18.48489958,-9.150833926,27.26066484,-1.158873318,24.77163698,-2.372132512,21.91431963,14.22779456,,15.67768782,-4.293248577,10.05321142,6.263198256,11.05760824,-2.079841961,9.829725382,4.472191934,4.410605658,-1.506981542,12.13602464,-2.589844214,16.67788584,6.837794294,13.78717571,1.942413541,8.166024026,1.83003393,9.898527434,4.634909002,8.824478195,-1.952178597,9.557396507,-1.498471175,4.047174107,2.685889478,,13.91444724,-4.871293588,16.69751274,2.127319955,36.49634706,20.63292132,8.193077109,1.658869775,9.944227658,-3.977102815,16.8357981,1.149542002,27.77495016,-5.039752,,19.30347695,4.586016787,19.19406454,-3.242664774,11.7781567,4.010943548,19.43899286,7.091311725,57.93484544,-4.74650784,10.72770465,-5.45664002
21.70003498,-18.97846505,18.35768353,-9.069265724,27.10456387,-1.180468604,24.68312299,-2.408290978,21.91651198,14.16411687,,15.60059225,-4.29670195,9.941586145,6.197331041,11.03182414,-2.077273487,9.737284049,4.43553441,4.397618853,-1.486797778,11.97547805,-2.523090588,16.51431393,6.771324481,13.64119369,1.949472481,8.06399852,1.822581881,9.704326528,4.550160322,8.78703435,-1.931936735,9.517044568,-1.526537274,3.997026945,2.584082713,,13.81217356,-4.841221561,16.46282987,2.120593282,36.39569132,20.51747936,8.161454524,1.659551665,9.873404512,-3.948006738,16.80429286,1.14902886,27.68015465,-4.997512512,,19.25904988,4.567679493,19.11433325,-3.241777086,11.70257567,4.024569109,19.39885758,7.030179388,57.81779443,-4.715265224,10.65930636,-5.434473516
