r/v = 40,,,r/v = 10,
Time (ms),Loom Angular Size (¡),,Time (ms),Loom Angular Size (¡)
331.7502985,35.48934325,,,
334.5381162,36.2437205,,,
337.3259338,37.02971841,,,
340.1137514,37.84928883,,,
342.9015691,38.70454022,,,
345.6893867,39.59775271,,,
348.4772044,40.53139494,,,
351.265022,41.50814264,,,
354.0528396,42.53089927,,,
356.8406573,43.60281897,,,
359.6284749,44.72733203,,,
362.4162925,45.90817308,,,
365.2041102,47.1494124,,,
367.9919278,48.45549064,,,
370.7797454,49.83125702,,,
373.5675631,51.28201165,,,
376.3553807,52.81355189,,,
379.1431983,54.43222311,,,
381.931016,56.14497387,,,
384.7188336,57.9594154,,,
387.5066512,59.88388506,,,
390.2944689,61.92751306,,,
393.0822865,64.10029105,,,
395.8701041,66.41314063,,,
398.6579218,68.87797862,,,
401.4457394,71.50777451,,,
404.233557,74.31659357,,,
407.0213747,77.31961651,,,
409.8091923,80.53312334,,,
412.59701,83.97442499,,,
415.3848276,87.66172134,,,
418.1726452,91.61385891,,,
420.9604629,95.8499559,,,
423.7482805,100.3888578,,,
426.5360981,105.248385,,,
429.3239158,110.4443373,,,
432.1117334,115.9892336,,,
434.899551,121.8907918,,,
437.6873687,128.150197,,,
440.4751863,134.7602701,,,
443.2630039,141.7037251,,,
446.0508216,148.951778,,,
448.8386392,156.4634221,,,
451.6264568,164.1856746,,,
454.4142745,172.0550081,,,
457.2020921,180,,,
459.9899097,180,,,
462.7777274,180,,,
465.565545,180,,,
468.3533626,180,,,
471.1411803,180,,,
473.9289979,180,,,
476.7168156,180,,,
479.5046332,180,,,
482.2924508,180,,,
485.0802685,180,,,
487.8680861,180,,,
490.6559037,180,,,
493.4437214,180,,,
496.231539,180,,,
499.0193566,180,,,
501.8071743,180,,,
