<0.167 m/s,,,,,,,,,,,,,,,>0.167 m/s,,,,,,,,,,,
Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),,Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s)
-83,0.081403155,-47,0.128682879,-42,0.065958687,-9,0.115144387,-65,0.0694787,-27,0.059015788,-3,0.017578518,,-28,0.195830021,-31,0.1699541,-15,0.20135855,-25,0.259085945,-22,0.183479588,,
-82,0.08253862,-46,0.128137643,-41,0.066221834,-8,0.113505567,-64,0.069944222,-26,0.059442728,-2,0.015349222,,-27,0.198164172,-30,0.168010739,-14,0.196202155,-24,0.257170098,-21,0.179874148,,
-81,0.083675094,-45,0.127479196,-40,0.06644373,-7,0.111701269,-63,0.070386274,-25,0.059826743,-1,0.013303971,,-26,0.200267124,-29,0.165846998,-13,0.190644034,-23,0.255003184,-20,0.175972828,,
-80,0.084812351,-44,0.126705024,-39,0.066622702,-6,0.109730291,-62,0.070803582,-24,0.060165766,0,0.011441955,,-25,0.202123034,-28,0.163463602,-12,0.184697167,-22,0.252586722,-19,0.171780549,,
-79,0.085950098,-43,0.125812693,-38,0.066756641,-5,0.107592375,-61,0.071194232,-23,0.060458608,,,,-24,0.203717061,-27,0.160862341,-11,0.17837798,-21,0.249922606,-18,0.167302994,,
-78,0.087087883,-42,0.124800013,-37,0.066843032,-4,0.105288326,-60,0.071555956,-22,0.06070463,,,,-23,0.205035826,-26,0.158046016,-10,0.171706655,-20,0.247013057,-17,0.162546732,,
-77,0.088224996,-41,0.123665417,-36,0.066879007,-3,0.10282019,-59,0.071886624,-21,0.060903251,,,,-22,0.206067642,-25,0.155018309,-9,0.16470762,-19,0.243860523,-16,0.157519418,,
-76,0.089360408,-40,0.12240835,-35,0.066861358,-2,0.100191498,-58,0.072184737,-20,0.061053579,,,,-21,0.206802472,-24,0.151783659,-8,0.157410097,-18,0.240467592,-15,0.152229984,,
-75,0.090492742,-39,0.121029481,-34,0.066786532,-1,0.097407515,-57,0.072449772,-19,0.061154388,,,,-20,0.207231705,-23,0.148347111,-7,0.149848538,-17,0.236836963,-14,0.146688786,,
-74,0.091620221,-38,0.119530687,-33,0.066650624,0,0.09447537,-56,0.072682261,-18,0.061204402,,,,-19,0.207347851,-22,0.144714115,-6,0.142062822,-16,0.232971483,-13,0.140907711,,
-73,0.092740595,-37,0.117914777,-32,0.066449396,,,-55,0.072883616,-17,0.061202712,,,,-18,0.207144446,-21,0.140890515,-5,0.134098079,-15,0.228874275,-12,0.134900353,,
-72,0.093851149,-36,0.116185152,-31,0.066178408,,,-54,0.073055789,-16,0.061149181,,,,-17,0.206616254,-20,0.136882919,-4,0.12600414,-14,0.224548906,-11,0.128682313,,
-71,0.094948839,-35,0.11434573,-30,0.06583322,,,-53,0.073200891,-15,0.06104471,,,,-16,0.205759619,-19,0.13269924,-3,0.117834708,-13,0.219999556,-10,0.122271581,,
-70,0.096030528,-34,0.112401167,-29,0.065409614,,,-52,0.073320913,-14,0.060891272,,,,-15,0.204572696,-18,0.128349089,-2,0.109646337,-12,0.215231183,-9,0.115688925,,
-69,0.097093201,-33,0.110357035,-28,0.064903712,,,-51,0.073417556,-13,0.060691657,,,,-14,0.203055448,-17,0.123843885,-1,0.101497205,-11,0.210249722,-8,0.108958335,,
-68,0.098134132,-32,0.108219658,-27,0.064312014,,,-50,0.073492136,-12,0.060449054,,,,-13,0.201209537,-16,0.119196622,0,0.093445635,-10,0.205062278,-7,0.102107494,,
-67,0.099151031,-31,0.105995684,-26,0.063631375,,,-49,0.073545527,-11,0.060166565,,,,-12,0.19903835,-15,0.114421462,,,-9,0.199677253,-6,0.095168076,,
-66,0.100142097,-30,0.103691658,-25,0.062858997,,,-48,0.073578177,-10,0.059846768,,,,-11,0.19654715,-14,0.10953346,,,-8,0.194104411,-5,0.088175686,,
-65,0.101105937,-29,0.101313808,-24,0.061992478,,,-47,0.073590226,-9,0.059491403,,,,-10,0.193743321,-13,0.104548637,,,-7,0.188354932,-4,0.081169421,,
-64,0.102041415,-28,0.098868084,-23,0.061029872,,,-46,0.073581647,-8,0.059101357,,,,-9,0.190636641,-12,0.099484269,,,-6,0.182441381,-3,0.074191198,,
-63,0.102947548,-27,0.096360357,-22,0.059969717,,,-45,0.073552316,-7,0.058676978,,,,-8,0.187239404,-11,0.094359133,,,-5,0.176377555,-2,0.067284937,,
-62,0.103823479,-26,0.093796615,-21,0.058810986,,,-44,0.073501999,-6,0.058218599,,,,-7,0.183566093,-10,0.089193493,,,-4,0.170178274,-1,0.060495638,,
-61,0.104668463,-25,0.091183016,-20,0.057553043,,,-43,0.073430282,-5,0.057727051,,,,-6,0.179632684,-9,0.084008722,,,-3,0.163859256,0,0.053868474,,
-60,0.105481869,-24,0.088525812,-19,0.056195675,,,-42,0.073336503,-4,0.057203956,,,,-5,0.175456002,-8,0.078826581,,,-2,0.157437059,,,,
-59,0.106263227,-23,0.085831179,-18,0.05473925,,,-41,0.073219686,-3,0.056651636,,,,-4,0.171053405,-7,0.073668482,,,-1,0.150929095,,,,
-58,0.107012223,-22,0.083105029,-17,0.053184951,,,-40,0.073078502,-2,0.056072647,,,,-3,0.1664427,-6,0.068555097,,,0,0.144353756,,,,
